                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     61,                0.48188,                 0.8375,                 0.9875,                 1.6953,             0.00028988,             0.00028988,             0.00028988
                     62,                0.56717,                  0.825,                 0.9875,                 1.6717,             0.00028282,             0.00028282,             0.00028282
                     63,                0.46437,                  0.825,                      1,                  1.697,             0.00027575,             0.00027575,             0.00027575
                     64,                0.45222,                 0.8125,                 0.9875,                 1.6967,             0.00026868,             0.00026868,             0.00026868
                     65,                 0.4111,                 0.8375,                 0.9875,                 1.6931,             0.00026161,             0.00026161,             0.00026161
                     66,                0.51117,                 0.8375,                      1,                 1.6722,             0.00025454,             0.00025454,             0.00025454
                     67,                0.41066,                  0.825,                      1,                 1.7117,             0.00024747,             0.00024747,             0.00024747
                     68,                0.64119,                  0.825,                      1,                 1.7014,              0.0002404,              0.0002404,              0.0002404
                     69,                0.39457,                 0.8125,                      1,                 1.6549,             0.00023334,             0.00023334,             0.00023334
                     70,                0.39742,                 0.8125,                      1,                 1.6925,             0.00022627,             0.00022627,             0.00022627
                     71,                0.43432,                    0.8,                  0.975,                 1.7053,              0.0002192,              0.0002192,              0.0002192
                     72,                0.35546,                  0.825,                      1,                 1.7044,             0.00021213,             0.00021213,             0.00021213
                     73,                0.37893,                 0.8375,                      1,                 1.6926,             0.00020506,             0.00020506,             0.00020506
                     74,                0.46601,                 0.8125,                      1,                 1.6672,             0.00019799,             0.00019799,             0.00019799
                     75,                0.50863,                 0.8125,                      1,                 1.6901,             0.00019092,             0.00019092,             0.00019092
                     76,                0.34168,                 0.8125,                      1,                 1.6568,             0.00018385,             0.00018385,             0.00018385
                     77,                0.28439,                 0.8125,                      1,                 1.6676,             0.00017679,             0.00017679,             0.00017679
                     78,                0.51192,                 0.8125,                      1,                 1.6792,             0.00016972,             0.00016972,             0.00016972
                     79,                0.30393,                 0.8125,                      1,                 1.6738,             0.00016265,             0.00016265,             0.00016265
                     80,                0.37735,                    0.8,                      1,                 1.6867,             0.00015558,             0.00015558,             0.00015558
                     81,                0.32015,                 0.8375,                      1,                 1.6603,             0.00014851,             0.00014851,             0.00014851
                     82,                0.29339,                 0.8125,                      1,                 1.6936,             0.00014144,             0.00014144,             0.00014144
                     83,                0.41315,                    0.8,                 0.9875,                 1.6695,             0.00013437,             0.00013437,             0.00013437
                     84,                0.48651,                 0.8125,                      1,                 1.6594,             0.00012731,             0.00012731,             0.00012731
                     85,                0.32249,                    0.8,                      1,                 1.6846,             0.00012024,             0.00012024,             0.00012024
                     86,                0.23323,                 0.8125,                      1,                 1.6769,             0.00011317,             0.00011317,             0.00011317
                     87,                0.44173,                 0.8125,                      1,                 1.6756,              0.0001061,              0.0001061,              0.0001061
                     88,                0.30075,                  0.825,                      1,                 1.6763,             9.9032e-05,             9.9032e-05,             9.9032e-05
                     89,                0.42774,                    0.8,                      1,                 1.6789,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     90,                 0.4216,                    0.8,                      1,                 1.6628,             8.4895e-05,             8.4895e-05,             8.4895e-05
                     91,                0.30994,                  0.825,                      1,                 1.6637,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     92,                 0.4428,                 0.8125,                      1,                 1.6556,             7.0757e-05,             7.0757e-05,             7.0757e-05
                     93,                 0.4883,                 0.8125,                      1,                 1.6657,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     94,                0.46416,                  0.825,                      1,                 1.6619,              5.662e-05,              5.662e-05,              5.662e-05
                     95,                0.30317,                 0.8125,                      1,                 1.7117,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     96,                0.35281,                    0.8,                      1,                 1.6642,             4.2483e-05,             4.2483e-05,             4.2483e-05
                     97,                 0.2537,                    0.8,                      1,                 1.6926,             3.5414e-05,             3.5414e-05,             3.5414e-05
                     98,                0.34112,                  0.825,                      1,                 1.6641,             2.8346e-05,             2.8346e-05,             2.8346e-05
                     99,                0.29935,                 0.8125,                      1,                 1.6442,             2.1277e-05,             2.1277e-05,             2.1277e-05
                    100,                0.29731,                  0.825,                      1,                 1.6514,             1.4209e-05,             1.4209e-05,             1.4209e-05
